Privacy Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,América Móvil,,,Apple,,,,AT&T,,,,Axiata,,,Baidu,,,,Bharti Airtel,,,,Etisalat,,,,Facebook,,,,,Google,,,,,Kakao,,,,Mail.Ru,,,,Microsoft,,,,MTN,,,Ooredoo,,,,Orange,,,,Samsung,,Telefónica,,,,TenCent,,,,Twitter,,,,Vodafone,,,,Yahoo,,,,Yandex,,
P1,P1. Access to privacy policies,Prepaid Mobile,Postpaid Mobile,,iOS mobile ecosystem,iMessage,iCloud,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,,Baidu Search,Baidu Cloud,Baidu PostBar,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Facebook,Instagram,WhatsApp,Messenger,,Search,Gmail,Youtube,Android mobile ecosystem,,Daum Search,Daum Mail,Kakao Talk,,Vkontakte,Mail.Ru,Mail.Ru Agent,,Bing,Outlook.com,Skype,,Prepaid Mobile,Postpaid Mobile,,Prepaid Mobile,Postpaid Mobile,,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Samsung implementation of Android,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,QZone,QQ,WeChat,,Twitter,Vine,Periscope,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Yahoo Mail,Flickr,Tumblr,,Yandex Mail,Yandex Search,Yandex Disk (cloud storage)
6,(For mobile ecosystems): Does the company clearly disclose that it evaluates whether the privacy policies of third-party apps made available through its app store disclose the types of third parties with whom they share user information?,exclude,exclude,,0,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,exclude,,exclude,exclude,exclude,0,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,,exclude,exclude,,,exclude,exclude,exclude,,0,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude,,exclude,exclude,exclude
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average,37.5,37.5,,33.33,50,50,,37.5,37.5,37.5,,25,25,,25,25,25,,37.5,37.5,37.5,,12.5,12.5,12.5,,50,50,62.5,50,,50,50,50,33.33,,75,75,87.5,,37.5,25,25,,50,50,50,,0,0,,0,0,,,25,25,25,,41.67,,25,25,25,,50,50,50,,62.5,62.5,62.5,,50,50,50,,75,75,37.5,,50,50,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,P5. Purpose for collecting and sharing user information,Prepaid Mobile,Postpaid Mobile,,iOS mobile ecosystem,iMessage,iCloud,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,,Baidu Search,Baidu Cloud,Baidu PostBar,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Facebook,Instagram,WhatsApp,Messenger,,Search,Gmail,Youtube,Android mobile ecosystem,,Daum Search,Daum Mail,Kakao Talk,,Vkontakte,Mail.Ru,Mail.Ru Agent,,Bing,Outlook.com,Skype,,Prepaid Mobile,Postpaid Mobile,,Prepaid Mobile,Postpaid Mobile,,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Samsung implementation of Android,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,QZone,QQ,WeChat,,Twitter,Vine,Periscope,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Yahoo Mail,Flickr,Tumblr,,Yandex Mail,Yandex Search,Yandex Disk (cloud storage)
1,"For each type of user information the company collects, does the company clearly disclose its purpose for collection?",50,50,,50,50,50,,50,50,50,,50,50,,50,50,50,,0,0,0,,0,0,0,,50,50,50,50,,50,50,50,50,,50,50,50,,50,50,50,,50,50,50,,50,50,,0,0,,,50,50,50,,50,,50,50,50,,50,50,50,,100,100,100,,50,50,50,,50,50,100,,50,50,50
2,"Does the company clearly disclose whether it combines user information from various company services and if so, why?",0,0,,100,100,100,,50,50,50,,0,0,,0,0,100,,0,0,0,,0,0,0,,50,100,100,50,,100,100,100,100,,0,0,0,,50,50,50,,100,100,100,,0,0,,0,0,,,100,100,100,,100,,100,100,100,,100,100,100,,100,100,100,,50,50,50,,50,50,100,,50,50,50
3,"For each type of user information the company shares, does the company clearly disclose its purpose for sharing?",50,50,,50,50,50,,50,50,50,,50,50,,0,0,0,,50,50,50,,0,0,0,,50,50,50,50,,50,50,50,50,,50,50,50,,50,50,50,,50,50,50,,0,0,,0,0,,,50,50,0,,50,,50,50,0,,50,50,50,,100,50,100,,0,0,0,,50,50,50,,0,0,0
4,Does the company clearly disclose that it limits its use of user information to the purpose for which it was collected?,50,50,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,100,100,100,100,,100,100,100,,100,0,0,,0,0,0,,0,0,,0,0,,,0,0,0,,50,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,50,50,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average,37.5,37.5,,50,50,50,,37.5,37.5,37.5,,25,25,,12.5,12.5,37.5,,12.5,12.5,12.5,,0,0,0,,37.5,50,50,37.5,,75,75,75,75,,50,50,50,,62.5,37.5,37.5,,50,50,50,,12.5,12.5,,0,0,,,50,50,37.5,,62.5,,50,50,37.5,,50,50,50,,75,62.5,75,,25,25,25,,37.5,37.5,62.5,,37.5,37.5,37.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6,P6. Retention of user information,Prepaid Mobile,Postpaid Mobile,,iOS mobile ecosystem,iMessage,iCloud,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,,Baidu Search,Baidu Cloud,Baidu PostBar,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Facebook,Instagram,WhatsApp,Messenger,,Search,Gmail,Youtube,Android mobile ecosystem,,Daum Search,Daum Mail,Kakao Talk,,Vkontakte,Mail.Ru,Mail.Ru Agent,,Bing,Outlook.com,Skype,,Prepaid Mobile,Postpaid Mobile,,Prepaid Mobile,Postpaid Mobile,,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Samsung implementation of Android,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,QZone,QQ,WeChat,,Twitter,Vine,Periscope,,Prepaid Mobile,Postpaid Mobile,Fixed Line Broadband,,Yahoo Mail,Flickr,Tumblr,,Yandex Mail,Yandex Search,Yandex Disk (cloud storage)
1,"For each type of user information the company collects, does the company clearly disclose how long it retains that user information?",0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,50,0,50,50,,0,0,0,0,,100,100,100,,100,50,50,,50,50,50,,0,0,,0,0,,,0,0,0,,100,,0,0,0,,0,0,0,,50,50,50,,0,0,0,,50,50,0,,0,0,0
2,Does the company clearly disclose what de-identified user information it retains?,0,0,,50,50,50,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,100,100,100,50,,0,0,0,,0,0,0,,100,0,0,,0,0,,0,0,,,0,0,0,,0,,0,0,0,,0,0,0,,100,50,100,,0,0,0,,100,100,0,,0,0,0
3,Does the company clearly disclose the process for de-identifying user information?,0,0,,0,0,0,,50,50,50,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,50,50,50,50,,0,0,0,,0,0,0,,50,0,0,,0,0,,0,0,,,0,0,0,,0,,0,0,0,,0,0,0,,50,50,50,,0,0,0,,50,50,0,,0,0,0
4,Does the company clearly disclose that it deletes all user information after users terminate their account?,0,0,,0,0,50,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,50,0,50,50,,0,0,0,0,,100,100,100,,100,0,0,,0,50,50,,0,0,,0,0,,,0,0,0,,0,,0,0,0,,0,0,0,,100,0,0,,0,0,0,,0,0,50,,0,0,0
5,Does the company clearly disclose the time frame in which it will delete user information after users terminate their account?,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,100,0,0,100,,0,0,0,0,,0,0,0,,100,0,0,,50,50,50,,0,0,,0,0,,,0,0,0,,0,,0,0,0,,0,0,0,,100,0,0,,0,0,0,,50,50,0,,0,0,0
